advisedby(person275, X1)	+advisedby(person275, person79)	-advisedby(person275, person86)	-advisedby(person275, person380)
advisedby(person266, X1)	+advisedby(person266, person7)	-advisedby(person266, person239)	-advisedby(person266, person392)
advisedby(person122, X1)	+advisedby(person122, person72)	-advisedby(person122, person195)	-advisedby(person122, person270)
advisedby(person176, X1)	+advisedby(person176, person407)	-advisedby(person176, person286)	-advisedby(person176, person312)
advisedby(person380, X1)	+advisedby(person380, person79)	-advisedby(person380, person400)	-advisedby(person380, person171)
advisedby(person419, X1)	+advisedby(person419, person101)	-advisedby(person419, person4)	-advisedby(person419, person417)
advisedby(person265, X1)	+advisedby(person265, person168)	-advisedby(person265, person257)	-advisedby(person265, person70)
advisedby(person68, X1)	+advisedby(person68, person201)	-advisedby(person68, person249)	-advisedby(person68, person288)
advisedby(person362, X1)	+advisedby(person362, person335)	+advisedby(person362, person5)	-advisedby(person362, person370)	-advisedby(person362, person64)	-advisedby(person362, person325)	-advisedby(person362, person263)
advisedby(person426, X1)	+advisedby(person426, person179)	+advisedby(person426, person235)	-advisedby(person426, person368)	-advisedby(person426, person167)	-advisedby(person426, person222)	-advisedby(person426, person267)
advisedby(person391, X1)	+advisedby(person391, person235)	-advisedby(person391, person277)	-advisedby(person391, person222)
advisedby(person96, X1)	+advisedby(person96, person5)	-advisedby(person96, person189)	-advisedby(person96, person166)
advisedby(person100, X1)	+advisedby(person100, person235)	+advisedby(person100, person104)	-advisedby(person100, person403)	-advisedby(person100, person89)	-advisedby(person100, person391)	-advisedby(person100, person402)
advisedby(person418, X1)	+advisedby(person418, person171)	-advisedby(person418, person161)	-advisedby(person418, person79)
advisedby(person148, X1)	+advisedby(person148, person171)	-advisedby(person148, person7)	-advisedby(person148, person73)
advisedby(person276, X1)	+advisedby(person276, person407)	-advisedby(person276, person94)	-advisedby(person276, person20)
advisedby(person6, X1)	+advisedby(person6, person165)	+advisedby(person6, person29)	-advisedby(person6, person144)	-advisedby(person6, person303)	-advisedby(person6, person68)	-advisedby(person6, person181)
advisedby(person183, X1)	+advisedby(person183, person5)	-advisedby(person183, person287)	-advisedby(person183, person263)
advisedby(person142, X1)	+advisedby(person142, person342)	-advisedby(person142, person40)	-advisedby(person142, person111)
advisedby(person272, X1)	+advisedby(person272, person7)	-advisedby(person272, person63)	-advisedby(person272, person168)
advisedby(person126, X1)	+advisedby(person126, person213)	-advisedby(person126, person15)	-advisedby(person126, person179)
advisedby(person381, X1)	+advisedby(person381, person168)	-advisedby(person381, person407)	-advisedby(person381, person271)
advisedby(person212, X1)	+advisedby(person212, person180)	-advisedby(person212, person187)	-advisedby(person212, person186)
advisedby(person45, X1)	+advisedby(person45, person415)	+advisedby(person45, person211)	-advisedby(person45, person139)	-advisedby(person45, person319)	-advisedby(person45, person293)	-advisedby(person45, person347)
advisedby(person21, X1)	+advisedby(person21, person211)	-advisedby(person21, person79)	-advisedby(person21, person407)
advisedby(person200, X1)	+advisedby(person200, person72)	-advisedby(person200, person322)	-advisedby(person200, person188)
advisedby(person357, X1)	+advisedby(person357, person124)	-advisedby(person357, person375)	-advisedby(person357, person426)
advisedby(person300, X1)	+advisedby(person300, person342)	-advisedby(person300, person214)	-advisedby(person300, person158)
advisedby(person404, X1)	+advisedby(person404, person72)	-advisedby(person404, person113)	-advisedby(person404, person410)
advisedby(person432, X1)	+advisedby(person432, person240)	-advisedby(person432, person148)	-advisedby(person432, person406)
advisedby(person63, X1)	+advisedby(person63, person415)	-advisedby(person63, person314)	-advisedby(person63, person70)
advisedby(person257, X1)	+advisedby(person257, person240)	-advisedby(person257, person381)	-advisedby(person257, person319)
advisedby(person41, X1)	+advisedby(person41, person394)	-advisedby(person41, person41)	-advisedby(person41, person306)
advisedby(person9, X1)	+advisedby(person9, person335)	-advisedby(person9, person35)	-advisedby(person9, person9)
advisedby(person118, X1)	+advisedby(person118, person5)	-advisedby(person118, person46)	-advisedby(person118, person35)
advisedby(person253, X1)	+advisedby(person253, person101)	-advisedby(person253, person99)	-advisedby(person253, person187)
advisedby(person14, X1)	+advisedby(person14, person150)	-advisedby(person14, person148)	-advisedby(person14, person400)
advisedby(person228, X1)	+advisedby(person228, person342)	+advisedby(person228, person394)	+advisedby(person228, person393)	-advisedby(person228, person131)	-advisedby(person228, person217)	-advisedby(person228, person404)	-advisedby(person228, person85)	-advisedby(person228, person81)	-advisedby(person228, person122)
advisedby(person376, X1)	+advisedby(person376, person107)	+advisedby(person376, person179)	-advisedby(person376, person175)	-advisedby(person376, person126)	-advisedby(person376, person253)	-advisedby(person376, person4)
advisedby(person263, X1)	+advisedby(person263, person5)	-advisedby(person263, person96)	-advisedby(person263, person76)
advisedby(person218, X1)	+advisedby(person218, person101)	-advisedby(person218, person62)	-advisedby(person218, person190)
advisedby(person75, X1)	+advisedby(person75, person331)	-advisedby(person75, person350)	-advisedby(person75, person52)
advisedby(person286, X1)	+advisedby(person286, person171)	-advisedby(person286, person63)	-advisedby(person286, person349)
advisedby(person159, X1)	+advisedby(person159, person201)	+advisedby(person159, person57)	-advisedby(person159, person401)	-advisedby(person159, person242)	-advisedby(person159, person205)	-advisedby(person159, person422)
advisedby(person368, X1)	+advisedby(person368, person180)	-advisedby(person368, person376)	-advisedby(person368, person357)
advisedby(person226, X1)	+advisedby(person226, person324)	-advisedby(person226, person77)	-advisedby(person226, person303)
advisedby(person309, X1)	+advisedby(person309, person378)	-advisedby(person309, person191)	-advisedby(person309, person201)
advisedby(person129, X1)	+advisedby(person129, person234)	+advisedby(person129, person179)	-advisedby(person129, person126)	-advisedby(person129, person198)	-advisedby(person129, person253)	-advisedby(person129, person15)
advisedby(person303, X1)	+advisedby(person303, person29)	+advisedby(person303, person165)	-advisedby(person303, person242)	-advisedby(person303, person249)	-advisedby(person303, person348)	-advisedby(person303, person68)
advisedby(person384, X1)	+advisedby(person384, person240)	+advisedby(person384, person407)	-advisedby(person384, person259)	-advisedby(person384, person20)	-advisedby(person384, person262)	-advisedby(person384, person148)
advisedby(person67, X1)	+advisedby(person67, person98)	+advisedby(person67, person375)	-advisedby(person67, person175)	-advisedby(person67, person71)	-advisedby(person67, person402)	-advisedby(person67, person19)
advisedby(person206, X1)	+advisedby(person206, person342)	+advisedby(person206, person72)	-advisedby(person206, person435)	-advisedby(person206, person258)	-advisedby(person206, person188)	-advisedby(person206, person40)
advisedby(person13, X1)	+advisedby(person13, person240)	-advisedby(person13, person83)	-advisedby(person13, person352)
advisedby(person99, X1)	+advisedby(person99, person104)	-advisedby(person99, person180)	-advisedby(person99, person419)
advisedby(person239, X1)	+advisedby(person239, person171)	-advisedby(person239, person208)	-advisedby(person239, person20)
advisedby(person249, X1)	+advisedby(person249, person331)	-advisedby(person249, person181)	-advisedby(person249, person68)
advisedby(person204, X1)	+advisedby(person204, person104)	-advisedby(person204, person213)	-advisedby(person204, person267)
advisedby(person62, X1)	+advisedby(person62, person104)	-advisedby(person62, person403)	-advisedby(person62, person212)
advisedby(person288, X1)	+advisedby(person288, person165)	-advisedby(person288, person324)	-advisedby(person288, person378)
advisedby(person157, X1)	+advisedby(person157, person72)	-advisedby(person157, person296)	-advisedby(person157, person81)
advisedby(person163, X1)	+advisedby(person163, person393)	-advisedby(person163, person40)	-advisedby(person163, person149)
advisedby(person18, X1)	+advisedby(person18, person335)	-advisedby(person18, person39)	-advisedby(person18, person325)
advisedby(person154, X1)	+advisedby(person154, person235)	+advisedby(person154, person124)	-advisedby(person154, person22)	-advisedby(person154, person190)	-advisedby(person154, person255)	-advisedby(person154, person417)
